,Adjusted net national income (current US$),Consumer price index (2010 = 100),Control of Corruption: Estimate,"Current account balance (BoP, current US$)","Exports of goods, services and primary income (BoP, current US$)",External balance on goods and services (current US$),GDP growth (annual %),General government final consumption expenditure (% of GDP),General government final consumption expenditure (current US$),Government Effectiveness: Estimate,"Government expenditure on education, total (% of GDP)",Gross national expenditure (current US$),Gross value added at basic prices (GVA) (current US$),"Imports of goods, services and primary income (BoP, current US$)","Industry (including construction), value added (annual % growth)","Inflation, consumer prices (annual %)","Manufacturing, value added (annual % growth)",Merchandise exports to high-income economies (% of total merchandise exports),Merchandise imports from high-income economies (% of total merchandise imports),"Net capital account (BoP, current US$)","Net financial account (BoP, current US$)","Net primary income (BoP, current US$)","Net secondary income (BoP, current US$)",Political Stability and Absence of Violence/Terrorism: Estimate,Population growth (annual %),"Primary income payments (BoP, current US$)","Primary income receipts (BoP, current US$)",Unemployment with advanced education (% of total labor force with advanced education),Unemployment with basic education (% of total labor force with basic education),Unemployment with intermediate education (% of total labor force with intermediate education),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,Classes
10,4465152428.68021,134.091174070188,1.15944015979767,-296395806.963393,2301068745.291685,165949999.99999976,0.2635985523686202,10.872292224448149,580700000.0,0.592136740684509,4.11122989654541,5243850000.0,4530400000.0,2539069266.3202,-0.2929360562437182,4.10028964518461,-0.1677500524218942,51.10651200981459,81.45535518839664,-3726502.62,-432601845.269809,-253071776.573755,-58395285.9348825,1.03281283378601,0.175755759089405,326200106.325,73128329.751245,4.166,9.433,9.791,8.413,1.10116636753082,3
11,52403178269.1789,508.339294380209,0.0072857378982007,-1245800000.0,43144600000.0,-425952405.1969062,1.4462066710268149,16.84306623519283,10848639653.348364,-0.174313709139824,4.97948980331421,64381917244.76201,56010111947.55862,45417700000.0,1.4276749294006803,5.59815595039852,1.2575472060916155,27.67631747591385,22.73492320498934,34900000.0,-554800000.0,-1870100000.0,1027300000.0,0.344906747341156,-0.201786600970723,3039800000.0,1169700000.0,2.173,8.709,5.039,4.165,-1.40739941596985,3
12,440488894845.5,117.110457187971,1.44899594783783,507274955.68176,514577142565.3078,3366035956.078426,2.2408353310313918,23.04075280951925,123467515370.9802,1.11346733570099,6.33397006988525,532499768393.7247,478403289709.01886,506031866561.9533,3.670935948647383,1.43681956996429,4.0991923911356025,86.56447533471756,82.92112478092531,761509837.445884,-3210968224.10718,5199680162.49991,-8035724668.64168,0.45831623673439,0.540461327098122,67810445760.1183,73011261694.0468,3.154,11.706,5.302,5.36,1.3083484172821,1
13,1862752441.77071,106.160082270615,-0.191070929169655,-184645704.683613,1112434207.671504,38003356.33301973,4.23623453555723,18.77476941158525,448114783.722036,-0.634144604206085,5.90775012969971,2226618176.098498,2021892512.48503,1376654759.533488,5.020652194261132,0.187069385181424,0.8188454668091936,85.81152652244721,58.0818433229353,10339563.105,-153093983.358384,-163503828.067674,79574847.1783691,0.0619343854486942,1.82301611890652,173462160.738938,9958332.67126393,7.019,9.937,10.102,9.053,0.504456102848053,3
14,12759759263.4295,110.720040198149,-0.330108225345612,-575592817.829541,3708936175.14568,-636109322.7433376,6.8656866284833455,10.342063240044624,1488296200.3383417,-0.490515828132629,3.00273609161377,15026818079.90203,13126511495.36097,4501397298.328687,13.558394443142618,-0.705026634542716,11.25680305283565,12.506384189593447,31.79947730042343,198487871.796351,-370404520.147909,-70793826.0790455,216868305.353464,-0.42025950551033,2.88707408493347,194796043.149286,124002217.07024,2.263,0.829,2.004,1.473,0.0611070208251476,2
15,571768592207.8257,166.8348470393972,1.17659223079681,838701046.112249,3657511972.04247,1924663000.0,0.3062667352339332,12.256729168925832,909874000.0,1.30727672576904,1.92679822444916,5581028000.0,7106986000.0,2634531065.252488,15.644108868943846,5.2503776384447525,-0.0350774627301859,33.35949711903669,80.12121513873471,-134280409.56886965,891579728.729352,1641748706.9643,-184279860.677731,1.0513995885849,-0.0109521313739413,410708637.454708,2052457344.41901,4.37,12.0,5.63,8.94,1.00476729869843,1
16,34324896354.2931,148.317518475358,-0.780918836593628,-1366094867.23348,10414108244.345,-2642975629.5224314,2.21670563961031,18.14309200161599,7419676049.204052,-0.790492653846741,8.09103965759277,43538298465.99132,34208221230.101303,12936185063.186922,0.1230995614637038,1.83954504969026,3.193773866237052,41.20414396970971,31.604909384709977,1923557.2234984,-2766073156.58991,-835894205.336622,1155981951.60847,-0.728338599205017,1.45750439141779,978897411.099123,143003205.7625,5.286,2.913,5.163,3.682,-0.116986528038979,2
17,17078344259.9393,105.799283333333,-0.646842896938324,-531916721.817284,8884500232.07442,-2956866462.2119346,2.8873433441487464,19.35897002753593,3965222089.811263,-0.706194877624512,4.3894049759771,23870571912.315712,17046568972.563456,11875922569.911598,-0.6730523309139329,2.05267452001727,-0.0164297795230368,76.56032991966244,67.24049507851326,219742847.51018,-341873653.926884,-34106206.1320067,2459505616.01991,-0.4248306453228,-1.16608133465016,719972023.171898,685865817.039891,13.267,15.005,16.377,15.692,-0.243577122688293,2
18,12308111555.4803,149.753698758867,0.68628865480423,-1154933120.42886,6521661935.978375,-1491507155.7801278,3.032202574456605,31.641939502348126,5292401901.581487,0.375697076320648,8.39899635314941,17849106366.70267,15932007248.707891,8864783750.6348,-1.4852595790262058,2.77286442863321,4.520870947890572,62.81807992238394,21.84663878961332,1.7167152890659002e-10,-681727999.477847,-876057010.061623,1188188694.22757,1.09520745277405,1.95085634796209,1169007277.19714,292950267.135515,15.252,22.748,24.728,20.094,0.498026460409164,1
19,1414533397119.49,167.397860280061,-0.407679289579391,-68021678683.915,283961511689.79504,-12071834271.312902,1.2207778236084152,19.98358128310352,374350071150.2252,-0.233971297740936,5.96346998214722,1885360039609.874,1611542840700.3118,353167335139.65,-0.6700375351523746,3.73297621216894,-0.4258042888071287,46.60062650855086,51.69362598604062,369209178.8,-67347206434.925,-57271612076.61,1184144765.94,-0.714393615722656,0.766107802084815,82400426135.08,25128814058.47,6.733,14.639,13.539,11.936,0.302083343267441,2
20,56961503392.9708,114.418393160353,-0.180789098143578,1263580000.0,45505170000.0,2205746093.526415,4.035188946624984,16.711792913086803,11511251788.67838,0.173825904726982,4.19715023040771,66675264152.02335,59469160895.19776,46231300000.0,-0.000580423830101,3.10372944796781,1.890445125042134,72.07446083562657,66.51452559097888,998610000.0,2677930000.0,-2924750000.0,1989730000.0,0.56119829416275,-0.703905641117455,4388690000.0,1463960000.0,1.906,12.799,3.388,4.23,0.354615122079849,1
21,13686055030.6714,108.359022934412,-0.220120951533318,-523837226.294833,4682310006.614364,-303549508.46435106,5.486455426836699,20.499942408835103,3286717534.357048,-0.778358161449432,5.40713691711426,16336363010.128298,14583878456.642015,5748895180.714202,6.9083857070518775,-3.2333893398333,5.24843291906933,68.54043521268378,47.19229808771056,214931955.821136,-316070181.024214,-511103210.664198,542747947.805011,-1.30215322971344,2.70387556725288,725743313.292352,214640102.628154,11.085,6.447,8.711,4.695,-0.20735926926136,2
22,1714070482.43379,110.501606515952,0.851036787033081,-21816807.5217905,1039524976.7867284,-229555184.62482312,6.9478263405185885,19.814467196561395,446256897.5076435,0.278715848922729,4.13851022720337,2481732308.948848,1971742718.4938667,1363251074.395905,3.9178588458720753,1.10666674296063,2.7039837646271963,95.74170255998592,83.00635348744999,12593789.7000034,-24907162.5785768,-42418819.6617467,301909290.087387,0.8595210313797,1.01513458042928,76595816.4463551,34176996.7846084,7.13,10.42,13.63,11.29,0.947817027568817,2
23,32359713829.9098,118.648588290011,-1.21871328353882,-1695070703.44845,7962324991.454481,-1459230123.7389438,3.475059981949812,12.09635125480658,4798740657.909429,-0.866170048713684,3.04739952087402,41130206576.26724,36360844099.71655,10160405670.37946,3.761342719148104,2.45280214062731,1.1734346680685377,53.19382863648247,41.64981289423174,263861898.93038,-1443607751.61335,-843481619.93808,503009975.476545,-1.56176483631134,2.7748797807221,1075003491.82662,231521871.888541,13.297,2.576,7.448,3.534,-1.2116025686264,2
24,1421442205127.79,116.75729822553,1.72997653484344,-34032332330.5444,675210825607.083,-25564644016.6048,1.9084319253882995,20.663496088068488,360314585114.83655,1.69739508628845,4.77293014526367,1769191847096.4744,1629435344525.3196,706999905155.783,0.2880350345977263,1.94926902411593,-0.0191896772844444,90.31965238983362,71.90642678683216,-67053424.1114683,-37875632145.4921,-6250976772.98647,-2243252781.84444,0.994817912578583,1.43613682316886,117333584132.157,111082607359.171,4.441,11.537,7.122,5.69,1.4299088716507,1
25,220029243677.644,131.913566974844,0.979157269001007,-14505468953.6712,88381490820.1264,-5182833954.405221,0.7431300315760723,15.23677283373746,42449479624.42987,0.863591849803925,5.61996984481812,283781721570.2488,250740966677.20575,103861430506.9292,-0.5633077845884173,2.55754475703327,-1.451060888284232,46.59161051725716,44.82184359470484,1024884555.53739,-10834254024.139,-10411013988.7618,974470733.131727,-0.0161683559417725,1.7913919716665,21537764674.504,11126750685.7422,6.836,7.161,8.209,7.533,0.981557965278625,1
26,10516015372298.9,125.083154382075,-0.312405079603195,102909876008.388,2904513533412.1543,132787798740.22627,5.950500754393147,16.770510911129936,2394823676445.364,0.54490339756012,3.54105472564697,14175678852582.768,544645391546.0628,2811853693091.849,4.874620602187036,2.89923416358227,1.890445125042134,67.87573628624602,62.8840403963363,-327297478.87,-26598365002.5656,-39184456991.735,10250035688.0844,-0.259810864925385,0.354740890170827,312698753468.939,273514296477.204,3.843,3.137,8.603,5.15,-1.6273341178894,1
27,269080606726.016,140.94784969246,-0.283157199621201,-14809636827.6065,58300167459.52534,-18808380841.729828,3.186855392455328,15.773233415214872,50952544237.113495,0.032749880105257,4.51069021224976,341840082052.4951,292474862526.25604,82165205092.3504,0.1955549361288859,3.52301932741447,1.2014382180127967,59.59451261465352,50.84297318244172,-134280409.56886965,-13298326759.6975,-9716875188.49065,9055400805.21845,-0.979467272758484,1.83074694246543,16693022628.5296,6976147440.03894,11.961,7.955,12.032,10.28,0.204610735177994,2
28,41402372360.3234,133.850926577035,-1.55517840385437,-1693232060.97432,15246058775.717983,-1812064907.430546,4.38452887429834,6.929147319187809,3587623527.923856,-1.65568780899048,2.622638463974,53587894784.63937,48657222726.32708,18403601492.44495,4.107076863890043,2.88585107289988,6.112514853188628,21.520539994578023,28.193222604666584,146925065.547871,-676791856.120284,-1439024927.42717,1464310655.75258,-1.62443852424622,3.18628838899818,1511896043.35395,72871115.9267847,5.496,1.635,7.492,1.466,-1.3141884803772,3
29,4885911327.03531,124.740496075729,-1.43592858314514,1632374163.45606,7922303721.1814,2910202932.190951,1.124477073638829,13.240880449182177,1850633039.7159972,-1.13162696361542,3.55946898460388,11066458565.650017,13489059390.350054,6420369160.80628,0.2642669422624948,2.20607305781525,-2.473322841211427,19.306827369305918,49.05400398317365,81980025.8392026,1800828071.60886,-1408263339.37845,130439603.080942,-0.29930168390274,2.355238072353,1475862341.80207,67599002.4236108,25.768,18.941,30.245,10.0,-1.2785792350769,2
30,57459966626.1984,128.845743336848,0.627239465713501,-825214056.665626,23307037691.4285,1861743534.5854945,2.4175118170644936,16.751200979279776,10790733455.173834,0.347733318805695,6.73808002471924,62555926986.76901,59676982258.491615,24713000908.89483,-0.2829137710868679,2.09604635327807,3.0087803281172256,75.120313811862,60.591838473108375,31875748.996095,-1267538122.13685,-3829700876.49243,580749160.800708,0.43024280667305,0.865128346659953,4399001718.32033,569300841.827899,6.097,11.838,13.813,10.807,1.09436094760895,2
31,51791357756.9752,109.815676449535,0.0527426823973656,1700365681.80612,34707876841.25096,-248042732.6947296,3.399716612511611,21.72890323033032,13356821108.86612,0.456991463899612,3.95437002182007,61718338620.533226,50508264200.92085,34945399377.41955,4.930019157360263,0.771820346498019,1.8005604873297756,74.12940471335826,82.41461516988261,994257384.908512,2692657078.21681,51426753.7949423,1937889134.73972,0.685416102409363,-0.554146739042888,3152670097.93955,3204095154.53746,5.253,9.087,6.906,6.617,0.454199224710464,2
32,571768592207.8257,115.533202128435,0.14824923929735645,-540730927.620112,1964994504.698328,-876648044.6927375,-3.2061317190254925,14.478287356985986,441061452.5139665,0.26869322094551423,6.62462139129639,3922960893.8547487,2645158152.1293964,2477693761.2513947,1.9503969800607641,2.62220783425059,1.890445125042134,62.72910866554682,77.4953259605759,5105545.74860335,-493239631.849162,43491762.9608939,-28031671.0670391,0.010173221264503799,-1.19643951751799,146540671.910615,190032434.871508,10.58,25.41,22.53,19.07,0.1369417778261735,2
33,21532497305.0165,102.510991917283,0.599219381809235,-1444504539.23285,49230305633.7812,267515303.220953,5.83988491154004,16.08690570487168,4174073858.471514,0.955951392650604,5.21296977996826,25679512267.205208,22756374289.693226,50369375135.6511,10.427085711639393,0.250370996758787,8.044975428942976,58.00016490120519,83.19968877768237,-25965709.1705948,-837744104.12994,-1399190361.24206,-305435037.363017,0.544513285160065,0.817517719721429,30794417440.7445,29395227079.5024,6.263,7.59,8.057,7.155,1.04695701599121,1
34,186455233903.003,116.47554201756,0.533790946006775,898074466.879909,199841625903.914,15123941174.546762,3.0298786634527914,19.58852441976152,49470461904.08704,0.919761836528778,4.54246997833252,237424238790.34985,228189078699.21185,197432585552.1825,1.9382534139295304,2.8478759591805,4.682937110428512,90.55080361325378,82.30610014354414,1062269523.30964,410437776.750445,-12706572376.3544,-1511052820.67532,0.941883623600006,0.393788864202175,26003432492.0645,13296816357.779,0.996,10.696,1.749,2.015,0.834337174892426,1
35,296347201607.05,110.347290420498,2.12161731719971,30550146961.5163,236106321336.6498,24495852419.38397,1.4934869585364794,24.12812697830159,83603655473.59584,1.87338101863861,6.9096999168396,322002886591.8136,301611016493.60754,200439604235.3569,1.610809802705134,0.75813157251162,5.168894453522867,85.47673660079978,84.51386810727892,128066874.597703,23183220503.2863,10003273000.4559,-5116270657.18477,0.967484951019287,0.358130915892652,21083666284.2189,31087241985.8428,4.096,8.403,4.119,5.018,1.54312837123871,1
36,79201784818.0885,132.172234898705,-0.838781177997589,-1187900000.0,21175100000.0,-4333740276.656968,5.052168020162526,11.068797269779406,9844740217.43076,-0.351272493600845,4.04276895523071,93275112834.89664,82359218489.30743,29260800000.0,5.973321650106286,1.81060377042959,2.547338832109247,70.79550197417764,63.80515487886369,1400000.0,-2012000000.0,-4068900000.0,6897800000.0,-0.0031599334906786,1.07497482890671,4734800000.0,665900000.0,5.449,4.766,9.785,6.356,0.179443821310997,2
37,80158709240.9735,124.142674729473,-0.509074687957764,-153719128.655858,26220832199.69088,21528000.0,0.0121051028476557,14.414744239716782,15583493000.0,-0.367639988660812,4.22565984725952,108086481000.0,100871577000.0,29113281283.24467,0.1629657945782838,0.266012515466155,-0.7982260952234981,63.51037828946766,55.06778186700731,83595123.8763534,48908364.4567614,-3028758227.21849,2738729954.89792,-0.238249406218529,1.90968326333656,3223799005.30057,195040778.082079,5.321,2.078,6.231,3.812,0.0320078320801258,3
38,261565839501.626,288.572774376263,-0.65516608953476,-10221895259.0833,54570434740.91667,-24971526195.899773,5.5520930715695584,7.285561115082202,23217539863.32574,-0.251194149255753,3.93084812164307,343650341685.64923,310024492910.9174,91591730000.0,5.45799533474316,9.15279959324804,2.8076133850469347,56.12882400507407,53.72123347215146,-169500000.0,-11060708000.0,-11593102259.0833,26799400000.0,-1.12460207939148,1.79400212546566,12640930000.0,1047827740.91667,16.052,4.903,11.144,7.851,-1.44390308856964,3
39,22200966540.4098,111.228352310937,-0.537628948688507,-113356041.21432,8300331326.177284,-4335980000.0,2.363636283162577,16.032020963396644,4309590000.0,-0.531054139137268,3.38710999488831,31217110000.0,24316750000.0,14053321086.05362,4.386378355653491,0.075324135002551,1.9773990354892133,49.91588801455799,45.43952247249746,247664532.855398,-138529199.176243,-1341102738.23633,5639633718.66197,-0.120268002152443,0.0617207329334854,1584724388.81462,243621650.578284,6.462,3.393,6.183,4.17,0.118330992758274,1
40,25294350709.1772,122.14231282149,1.52543818950653,767403735.730159,24795814377.79325,1247889430.823527,3.739706681616454,19.53930752060393,6073188397.294107,1.13979399204254,5.29571008682251,29762007877.92152,27001869588.68231,24110033120.97557,-2.961308770578228,2.27725931243522,1.6708357366014042,86.27165116712425,82.41754903086687,525451120.16428,1040341334.97521,-587201780.153321,81624726.6262989,0.630106985569,0.371554389037477,2431485872.56807,1844284092.41475,2.823,9.644,4.795,4.514,1.17932105064392,1
41,82027923370.9125,322.519847925871,-0.435477554798126,-5025133763.02265,7654757397.514711,-12406629382.87839,8.364085699078899,9.193046848259092,8817290961.298302,-0.661525189876556,4.48086929321289,108514894118.3306,90473171659.35432,19893023951.128685,12.555716874447882,15.8096321719344,7.697168421487262,46.42305854995421,44.349539504730274,13796891.8336844,-4544450647.75875,-599236914.721584,7213132790.59128,-1.30372190475464,2.656010133459,665807823.938784,66570909.2172008,5.483,3.197,7.939,2.251,-1.06261813640594,3
42,4327564742.68142,132.297245600612,0.688096284866333,-698096508.690148,2697960078.645464,-571099795.2687312,-0.5805042587856377,21.242435297576804,1156524679.8380156,0.76248824596405,5.11768341064453,6052787617.808413,4423248663.475808,3719321879.539221,-0.8965469202858571,1.77310182460282,-2.2892121421788687,67.60579947193845,75.68569373392184,3190179.44726982,-553667781.282734,-451664632.684438,323265292.203609,0.779773771762848,-0.0577971466911964,513225703.004081,61561070.3196438,5.022,2.575,5.545,4.32,0.0224821381270885,3
43,218983609936.084,112.331712088838,2.11400508880615,-846714797.429672,130632500691.1511,418683466.666666,1.2247489220622327,23.18830307932193,62264052760.78421,1.97287130355835,6.41695022583008,268101830878.4309,232056990611.76437,128844516575.8639,0.7049288474224795,1.02409392963431,3.154310293326958,78.31158105278313,79.04943184433037,210490444.832249,-9698963434.92948,1367641522.70015,-2635834684.14498,0.835154116153717,0.110191690491055,22180758816.8829,23548400339.5831,3.944,16.043,7.197,6.695,1.56277894973755,1
44,2284151926740.2,110.04856675289,1.24832808971405,13699135191.3448,1124534978125.004,-26125176635.294075,1.8429718144589629,22.98354757787774,627191191490.1951,1.33828783035278,5.35443019866943,2754996542815.6816,2428441350407.84,1062176776512.429,1.9329236565577328,1.10825492288294,2.064154042866022,81.51271718224012,82.1516135090383,2263690881.94259,-565686006.249519,86556207519.474,-48658952844.0875,0.271274894475937,0.341374143157509,145962935694.804,232519144421.421,5.102,15.438,9.145,8.415,1.11471974849701,1
45,14144523113.0185,133.612466666667,0.716376483440399,-1033862646.76,10918707900.21,-1565767238.9330306,4.982350475111062,13.111311957141057,2290603398.127128,0.766231834888458,3.86666989326477,19036203497.446083,15301422389.330309,13327691946.99,2.5640262616685163,4.85289821696723,1.3310718886507544,23.724240913017358,40.681211000983375,47050041.99,-1069118277.04,-793135262.3,1375121400.02,-0.498185902833939,-0.171565740223868,2165775096.78,1372639834.48,11.292,11.274,11.798,11.565,0.167866066098213,2
46,3300286458675.79,112.854877121191,1.86536622047424,317892238005.813,2114371649438.473,230891617647.05844,1.0754716357642309,20.251172242675104,787604052423.5282,1.49546587467194,5.11676979064941,3658285971607.837,3504589957733.328,1739631695400.222,-1.3251101749766292,1.44565976888253,-1.141383849980656,80.31491821828777,80.71195869471141,-4123651517.31601,224101148171.914,143939595694.56,-56847732940.0425,0.548454642295837,0.22551987421288,137328304677.542,281266764600.673,1.809,7.876,2.71,3.136,1.35365509986877,1
47,54482879880.0294,278.45173709811,-0.108893923461437,-1863971933.06699,26075275749.62448,-1315918074.8825018,6.507774793915203,7.0432037272921,4813182761.387844,-0.290070623159409,3.15307116508484,69653891707.37694,63945280083.41407,31343329905.241756,6.365811984225431,7.14364003330857,6.321432141318155,47.03967160682328,49.01103423818123,257078712.76,-1469553238.11786,-3952133968.54628,3404082222.55026,0.118470922112465,2.08893118401294,4435071175.71065,482937207.164378,4.472,2.803,6.803,3.369,0.550957500934601,3
48,173208375912.876,101.949414101629,0.0140720242634416,-3112110573.38848,88147802567.94028,-3416217520.4548965,1.8794899859081653,20.17894683414631,41417845495.482285,0.31449168920517,3.58606004714966,208668989604.5644,177883189822.66638,91912671135.0178,1.3304483860386256,0.253007522038157,1.562324215329454,65.75502399354191,57.4500389897191,759220517.065487,-638093842.084118,-1756866773.85682,652757993.68899,0.162369400262833,-0.105339392724138,8720554288.78151,6963687514.92468,12.086,20.184,19.233,17.045,0.810959219932556,1
49,66530789792.2866,142.921394880398,-0.915391564369202,1821490950.0,14607576600.0,-7943184895.652656,4.017897934382802,11.1070048234102,8571533000.255435,-0.726433575153351,3.19297003746033,85115502154.30046,72444423166.92172,23940589230.0,4.242795801640312,3.69998398008605,3.247563444150785,53.49793705183152,54.98566274031735,680280.0,1397283970.0,-1404055910.0,11154503580.0,-0.577349424362183,1.56038604781094,2414032080.0,1009976170.0,3.585,2.626,4.568,2.193,-0.333213925361633,2
50,21898573171.5466,150.34435782941,-0.875686287879944,-660874046.634071,7428329776.202818,-4564001142.6221695,2.653066254803548,13.488992104146618,3384379623.771127,-0.619096457958221,5.93245983123779,29653938164.16393,22693323335.18534,13983543018.13272,1.8366034453275404,4.36587159819267,1.9961501955092016,71.62982981815,48.53155658462728,21576729.54,-135660995.268854,-1973288292.14162,5894339195.29582,-0.569066166877747,1.68069668453135,2158622858.44002,185334566.298398,6.581,5.019,10.443,5.551,-0.571924388408661,2
51,27425880736.3175,134.647443117819,1.65278232097626,21253125996.6558,858641551427.423,5660728667.748777,-1.672431653272639,10.876436104887766,39489570907.91033,1.70707488059998,3.81017994880676,357413816404.6403,349763914038.39526,834633074838.0271,-6.398280385838035,2.88320853773988,0.4191274528481585,30.885159107477133,41.30896833165452,-87150028.8631368,30223939865.9746,18340974400.9266,-2755478312.0975,-0.228379547595978,0.739283471323064,195270403598.888,213611250231.501,2.631,3.438,2.865,2.917,0.128072425723076,1
